Player Name,Player ID,Team,Overall Grade,Solo Tackles,Assists,Forced Fumbles,Sacks,Interceptions,Offense Snaps Played,Penalties,Sacks Allowed,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Reception,Carries,Rushing Yards,Rushing Touchdowns,Yards Per Attempt,Fumbles,Dropbacks,Attempts,Passing Yards,Passing Touchdowns,Punts,Punt Gross Avg.,Long,Pinned Inside the 20,Kickoffs,FG Attempted,FG Made,50+ FG Attempted,50+ FG Made,PAT Attempted,PAT Made
Ben Boulware,12090,CAR,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Hill,12100,CLV,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,11860,,82.7,,,,,,,,,18.0,14.0,36.0,0.0,,129.0,631.0,4.0,4.9,0.0,,,,,,,,,,,,,,,
Geoff Gray,12110,CLV,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Garcia,11840,IND,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Dorian Johnson,11870,CAR,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Dobbs,11890,MIN,66.0,,,,,10.0,,,,,,,,,,,6.0,,,452.0,394.0,2401.0,13.0,,,,,,,,,,,
Alonzo Moore,12140,KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto Sanchez,12130,IND,,,,,,,,,,,,,,,,,,,,,,,,52.0,47.54,69.0,20.0,1.0,,,,,,
Jamal Agnew,11920,JAX,53.1,,,,,,,,,12.0,9.0,90.0,0.0,10.0,5.0,-2.0,0.0,-0.4,,,,,,,,,,,,,,,,
Deangelo Yancey,11930,TEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Gentry,12170,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Vallejo,11950,MIN,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Smith,12200,HST,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Kaaya,11970,CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Banks,12230,NYG,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Wheeler,12240,SEA,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Latroy Lewis,12250,TEN,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deyshawn Bond,12120,IND,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Sloter,12180,JAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Seals Jones,12020,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Bourne,12270,,67.2,,,,,,,,,55.0,37.0,406.0,4.0,11.0,1.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,
Keith Kelsey,12060,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Ferguson,12290,TEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
